Tab.0.3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Bevölkerung, Schüler/-innen und Studierende nach Geschlecht, Alter und Bildungsbereichen 2012;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;Bevölkerung 1);"Schüler/
-innen und Studierende";Vorschul-bereich;Primar-bereich;Sekundarbereich I;;;;;Sekundarbereich II;;;;Tertiärbereich;;Sonder-bereich
;;;;Vorklasse 2);Grundschule 3);Hauptschule 4);"Freie 
Waldorf-schule";Integrierte Gesamt-schule;Realschule 5);Gymnasium 6);Gymnasium 7);Berufs-schule 8);Berufs-fachschule;Fachgym-nasium 9);Fachschule 10);Hochschule;Förder-schule
Alter;Geschlecht;Anzahl;;Anteile (%);;;;;;;;;;;;;
5 Jahre;insgesamt;685461;12449;1,5;0,3;-;-;-;-;-;-;-;-;-;-;-;-
;männlich;352393;6732;1,7;0,2;-;-;-;-;-;-;-;-;-;-;-;-
;weiblich;333068;5717;1,3;0,4;-;-;-;-;-;-;-;-;-;-;-;-
6 Jahre;insgesamt;672438;443772;2,3;61,9;-;-;-;-;-;-;-;-;-;-;-;1,8
;männlich;346148;221216;2,8;58,8;-;-;-;-;-;-;-;-;-;-;-;2,3
;weiblich;326290;222556;1,8;65,2;-;-;-;-;-;-;-;-;-;-;-;1,2
7 Jahre;insgesamt;686373;694484;0,3;97,5;-;-;-;-;-;-;-;-;-;-;-;3,3
;männlich;352313;356181;0,4;96,3;-;-;-;-;-;-;-;-;-;-;-;4,4
;weiblich;334060;338303;0,2;98,9;-;-;-;-;-;-;-;-;-;-;-;2,2
8 Jahre;insgesamt;711157;710124;-;96,0;0,0;-;0,0;0,0;0,0;-;-;-;-;-;-;3,8
;männlich;364745;365307;-;95,2;0,0;-;0,0;0,0;0,0;-;-;-;-;-;-;4,9
;weiblich;346412;344817;-;97,0;0,0;-;0,0;0,0;0,0;-;-;-;-;-;-;2,5
9 Jahre;insgesamt;712197;716254;-;95,4;0,3;0,0;0,1;0,0;0,6;-;-;-;-;-;-;4,2
;männlich;365314;368123;-;94,5;0,2;0,0;0,1;0,0;0,6;-;-;-;-;-;-;5,3
;weiblich;346883;348131;-;96,4;0,3;0,0;0,1;0,0;0,6;-;-;-;-;-;-;2,9
10 Jahre;insgesamt;725696;730359;-;43,0;13,3;0,5;5,6;10,1;23,6;-;-;-;-;-;-;4,5
;männlich;372553;375158;-;45,3;13,1;0,5;5,3;9,5;21,3;-;-;-;-;-;-;5,7
;weiblich;353143;355201;-;40,6;13,5;0,6;5,9;10,8;26,0;-;-;-;-;-;-;3,2
11 Jahre;insgesamt;743133;751646;-;4,2;24,8;0,9;11,2;18,7;36,8;-;-;-;-;-;-;4,5
;männlich;381799;386592;-;4,7;25,6;0,8;11,2;18,4;34,9;-;-;-;-;-;-;5,7
;weiblich;361334;365054;-;3,8;23,9;0,9;11,2;19,0;38,9;-;-;-;-;-;-;3,3
12 Jahre;insgesamt;776726;775247;-;0,2;23,1;0,9;12,6;20,8;37,7;-;-;-;-;-;-;4,6
;männlich;398210;397991;-;0,2;24,7;0,9;12,7;20,4;35,3;-;-;-;-;-;-;5,7
;weiblich;378516;377256;-;0,2;21,3;1,0;12,5;21,2;40,1;-;-;-;-;-;-;3,4
13 Jahre;insgesamt;778713;774149;-;-;21,9;0,9;12,8;21,9;37,2;0,0;-;-;-;-;-;4,7
;männlich;399821;397670;-;-;23,7;0,8;12,8;21,6;34,6;0,0;-;-;-;-;-;5,8
;weiblich;378892;376479;-;-;20,1;1,0;12,7;22,3;39,9;0,0;-;-;-;-;-;3,5
14 Jahre;insgesamt;795682;791875;-;-;22,8;0,9;11,9;22,8;35,8;0,6;-;-;0,0;-;-;4,7
;männlich;407770;405729;-;-;24,7;0,8;12,0;22,4;33,2;0,6;-;-;0,0;-;-;5,8
;weiblich;387912;386146;-;-;20,8;0,9;11,8;23,3;38,6;0,7;-;-;0,0;-;-;3,6
15 Jahre;insgesamt;820752;815810;-;-;21,7;0,8;10,5;23,3;18,5;16,5;1,9;1,4;0,3;-;-;4,4
;männlich;420569;418093;-;-;23,6;0,7;10,6;22,9;18,0;14,1;2,5;1,2;0,3;-;-;5,4
;weiblich;400183;397717;-;-;19,6;0,9;10,4;23,9;19,1;19,0;1,4;1,5;0,3;-;-;3,4
16 Jahre;insgesamt;805941;794695;-;-;13,8;0,5;6,0;15,6;2,8;33,1;11,5;7,2;4,9;-;0,0;3,2
;männlich;413750;409335;-;-;15,3;0,5;6,3;16,0;3,0;29,3;14,3;6,4;4,0;-;0,0;3,9
;weiblich;392191;385360;-;-;12,3;0,5;5,7;15,1;2,6;37,1;8,5;8,0;5,8;-;0,0;2,6
17 Jahre;insgesamt;779410;739151;-;-;4,0;0,0;1,2;4,1;0,2;35,5;24,6;12,3;10,2;0,8;0,2;1,7
;männlich;400321;382062;-;-;4,5;0,0;1,3;4,6;0,3;31,7;30,7;11,0;8,8;0,2;0,2;2,0
;weiblich;379089;357089;-;-;3,4;0,0;1,1;3,6;0,2;39,6;18,1;13,6;11,7;1,4;0,2;1,4
18 Jahre;insgesamt;785890;693189;-;-;0,6;0,0;0,1;1,2;0,0;26,3;30,8;10,5;10,3;1,8;5,5;1,1
